,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
0,4079 FORT SUMTER LNDG NW,"4079 FORT SUMTER LNDG NW Cobb County, GA",2018-01-02,"$219,900.00",219900,1850,118.86486486486488,"https://www.google.com/maps/search/4079%20FORT%20SUMTER%20LNDG%20NW%20Cobb%20County,%20GA",34.0550975,-84.6548336
1,2852 BETULA DR,"2852 BETULA DR Cobb County, GA",2018-01-02,"$91,971.00",91971,1845,49.84878048780488,"https://www.google.com/maps/search/2852%20BETULA%20DR%20Cobb%20County,%20GA",33.84233,-84.63706
2,5006 CRIDER CREEK DR SW,"5006 CRIDER CREEK DR SW Cobb County, GA",2018-01-02,"$255,900.00",255900,2845,89.94727592267135,"https://www.google.com/maps/search/5006%20CRIDER%20CREEK%20DR%20SW%20Cobb%20County,%20GA",33.835668,-84.70191
3,6150 DUE WEST RD,"6150 DUE WEST RD Cobb County, GA",2018-01-02,"$100,000.00",100000,1512,66.13756613756614,"https://www.google.com/maps/search/6150%20DUE%20WEST%20RD%20Cobb%20County,%20GA",33.9776808,-84.7307604
4,1651 MASSACHUSETTS AVE UNIT 21,"1651 MASSACHUSETTS AVE UNIT 21 Cobb County, GA",2018-01-02,"$76,500.00",76500,1440,53.125,"https://www.google.com/maps/search/1651%20MASSACHUSETTS%20AVE%20UNIT%2021%20Cobb%20County,%20GA",33.9127335,-84.5699911
5,35 SHERATON WAY,"35 SHERATON WAY Cobb County, GA",2018-01-02,"$85,000.00",85000,1422,59.774964838255976,"https://www.google.com/maps/search/35%20SHERATON%20WAY%20Cobb%20County,%20GA",33.8056855,-84.5545193
6,1190 HILL ST SE,"1190 HILL ST SE Cobb County, GA",2018-01-02,"$349,900.00",349900,2264,154.5494699646643,"https://www.google.com/maps/search/1190%20HILL%20ST%20SE%20Cobb%20County,%20GA",33.8889355,-84.5186342
7,827 MEADOW PL,"827 MEADOW PL Cobb County, GA",2018-01-02,"$85,000.00",85000,1008,84.32539682539682,"https://www.google.com/maps/search/827%20MEADOW%20PL%20Cobb%20County,%20GA",33.9656062,-84.5280393
8,939 CHURCH ST,"939 CHURCH ST Cobb County, GA",2018-01-02,"$339,000.00",339000,1470,230.6122448979592,"https://www.google.com/maps/search/939%20CHURCH%20ST%20Cobb%20County,%20GA",33.8815407,-84.5261305
9,4953 TURTLE TRCE,"4953 TURTLE TRCE Cobb County, GA",2018-01-02,"$159,000.00",159000,1388,114.55331412103746,"https://www.google.com/maps/search/4953%20TURTLE%20TRCE%20Cobb%20County,%20GA",34.0692541,-84.484134
10,630 MIDDLEGATE CT,"630 MIDDLEGATE CT Cobb County, GA",2018-01-02,"$180,000.00",180000,1569,114.72275334608032,"https://www.google.com/maps/search/630%20MIDDLEGATE%20CT%20Cobb%20County,%20GA",34.0452663,-84.5318283
11,3362 THORNBRIDGE DR,"3362 THORNBRIDGE DR Cobb County, GA",2018-01-02,"$147,000.00",147000,1596,92.10526315789474,"https://www.google.com/maps/search/3362%20THORNBRIDGE%20DR%20Cobb%20County,%20GA",33.8740829,-84.7067605
12,714 TOM READ DR,"714 TOM READ DR Cobb County, GA",2018-01-02,"$73,000.00",73000,880,82.95454545454545,"https://www.google.com/maps/search/714%20TOM%20READ%20DR%20Cobb%20County,%20GA",33.9678573,-84.531127
13,4567 WILKERSON PL,"4567 WILKERSON PL Cobb County, GA",2018-01-02,"$398,000.00",398000,2719,146.3773446119897,"https://www.google.com/maps/search/4567%20WILKERSON%20PL%20Cobb%20County,%20GA",33.8423746,-84.5280554
