,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
15443,4079 FORT SUMTER LNDG NW,"4079 FORT SUMTER LNDG NW Cobb County, GA",2018-01-02,"$219,900.00",219900,1850,118.86486486486487
14172,2852 BETULA DR,"2852 BETULA DR Cobb County, GA",2018-01-02,"$91,971.00",91971,1845,49.84878048780488
14137,5006 CRIDER CREEK DR SW,"5006 CRIDER CREEK DR SW Cobb County, GA",2018-01-02,"$255,900.00",255900,2845,89.94727592267135
14025,6150 DUE WEST RD,"6150 DUE WEST RD Cobb County, GA",2018-01-02,"$100,000.00",100000,1512,66.13756613756614
13899,1651 MASSACHUSETTS AVE UNIT 21,"1651 MASSACHUSETTS AVE UNIT 21 Cobb County, GA",2018-01-02,"$76,500.00",76500,1440,53.125
15442,35 SHERATON WAY,"35 SHERATON WAY Cobb County, GA",2018-01-02,"$85,000.00",85000,1422,59.774964838255976
13792,1190 HILL ST SE,"1190 HILL ST SE Cobb County, GA",2018-01-02,"$349,900.00",349900,2264,154.5494699646643
15433,827 MEADOW PL,"827 MEADOW PL Cobb County, GA",2018-01-02,"$85,000.00",85000,1008,84.32539682539682
13765,939 CHURCH ST,"939 CHURCH ST Cobb County, GA",2018-01-02,"$339,000.00",339000,1470,230.6122448979592
15435,4953 TURTLE TRCE,"4953 TURTLE TRCE Cobb County, GA",2018-01-02,"$159,000.00",159000,1388,114.55331412103746
15436,630 MIDDLEGATE CT,"630 MIDDLEGATE CT Cobb County, GA",2018-01-02,"$180,000.00",180000,1569,114.72275334608031
15437,3362 THORNBRIDGE DR,"3362 THORNBRIDGE DR Cobb County, GA",2018-01-02,"$147,000.00",147000,1596,92.10526315789474
15438,714 TOM READ DR,"714 TOM READ DR Cobb County, GA",2018-01-02,"$73,000.00",73000,880,82.95454545454545
15439,4567 WILKERSON PL,"4567 WILKERSON PL Cobb County, GA",2018-01-02,"$398,000.00",398000,2719,146.3773446119897
15440,1376 PEMBRIDGE TRCE,"1376 PEMBRIDGE TRCE Cobb County, GA",2018-01-02,"$249,000.00",249000,2022,123.1454005934718
15441,3849 CRESTMORE DR,"3849 CRESTMORE DR Cobb County, GA",2018-01-02,"$137,250.00",137250,1473,93.17718940936864
15434,4810 IVY RIDGE DR UNIT 30,"4810 IVY RIDGE DR UNIT 30 Cobb County, GA",2018-01-02,"$245,000.00",245000,1193,205.36462699077956
13840,5676 FAIRWOOD DR,"5676 FAIRWOOD DR Cobb County, GA",2018-01-03,"$285,000.00",285000,2574,110.72261072261072
13891,2463 NATOMA CT UNIT 9,"2463 NATOMA CT UNIT 9 Cobb County, GA",2018-01-03,"$273,000.00",273000,1526,178.89908256880733
13941,4966 TURTLE ROCK DR,"4966 TURTLE ROCK DR Cobb County, GA",2018-01-03,"$206,500.00",206500,1300,158.84615384615384
13946,390 SIGNATURE CIR UNIT 8,"390 SIGNATURE CIR UNIT 8 Cobb County, GA",2018-01-03,"$275,000.00",275000,1928,142.63485477178423
14040,745 PARK MANOR DR SE,"745 PARK MANOR DR SE Cobb County, GA",2018-01-03,"$380,000.00",380000,2585,147.0019342359768
13794,3711 HOPKINS RD,"3711 HOPKINS RD Cobb County, GA",2018-01-03,"$116,000.00",116000,1560,74.35897435897436
13764,4922 LAKE PARK LN,"4922 LAKE PARK LN Cobb County, GA",2018-01-03,"$212,400.00",212400,1793,118.46068042387061
15429,2086 CHEROKEE RIDGE TRL,"2086 CHEROKEE RIDGE TRL Cobb County, GA",2018-01-03,"$160,000.00",160000,1302,122.88786482334869
15428,5074 CENTENNIAL COMMONS DR,"5074 CENTENNIAL COMMONS DR Cobb County, GA",2018-01-03,"$230,000.00",230000,2261,101.72490048651039
15431,249 TIMBER CREEK LN,"249 TIMBER CREEK LN Cobb County, GA",2018-01-03,"$114,055.00",114055,1408,81.0049715909091
